Taleo CandidateID,Taleo EmployeeNumber/ Ora PersonNumber,Oracle CandNum
10331,3014622,236750
10337,3015288,275575
10357,3007005,285794
10359,3007497,276373
10402,3016114,310766
10440,3017839,257117
10507,3010327,264516
10509,3018829,295740
10515,3017905,267649
10538,3007055,281899
10555,3007391,288812
10639,3007846,259697
10645,3017982,284465
10664,3020043,280605
10688,3017892,292291
10690,3018047,207982
10724,3019807,298241
10726,3008602,275236
10731,3020026,280179
10736,3009026,287904
10745,3019348,310918
10762,3017894,286004
10763,3020143,272307
10783,3000221,284889
10787,3019704,260625
10811,3008091,122914
10820,3000995,285202
10829,3001232,278917
10836,3008384,273731
10875,3001492,289181
10901,3020122,291265
10916,3000919,266011
10919,3019969,312434
10922,3008503,116849
10932,3000280,284293
10945,3002521,292916
10994,3002502,276545
11004,3023455,274126
11024,3019809,298054
11052,3005734,270477
11056,3002045,275364
11076,3024806,272831
11080,3020254,282269
11090,3025663,279543
11095,3020828,297750
11103,3002148,286525
11127,3002464,265072
11131,3001828,262343
11182,3002714,257310
11218,3011095,41973
11222,3010357,279255
11268,3013456,310960
11273,3015157,276904
11337,3001812,111509
11406,3022835,306820
11414,3023651,297616
11482,3002318,284605
11566,3001307,292497
11574,3000743,260275
11581,3002950,291134
11601,3000829,1932
11602,3011621,272911
11621,3025426,272340
11627,3024830,262285
11665,3012367,275087
11673,3012439,275389
11679,3028902,39577
11693,3026580,266799
11730,3001403,1734
11733,3001524,273958
11752,3028764,312504
11824,3002636,283615
11840,3013876,277916
11852,3002915,2747
11890,3002928,2829
11896,3002195,142656
11916,3014797,289445
11927,3002872,284583
11931,3013897,177630
11952,3002908,291546
11959,3014876,311238
11981,3002047,270191
12015,3014073,311236
12023,3003179,288405
12069,3002963,280246
12077,3002235,289926
12101,3030842,199929
12129,3015265,273541
12140,3002284,269128
12141,3001851,200689
12151,3001992,266893
12166,3033384,284385
12177,3002388,273292
12199,3016165,277367
12212,3000179,297763
12248,3003502,2176
12253,3005302,150094
12255,3002711,290492
12267,3210616,263901
12301,3006423,297762
12309,3000562,298349
12310,3003981,290073
12337,3003221,278524
12338,3000618,288040
12341,3000435,273432
12351,3003098,278404
12353,3007377,282531
12365,3001660,306492
12366,3007214,290435
12395,3004097,310470
12415,3001093,263569
12425,3001295,312656
12430,3016202,225713
12437,3002428,142094
12461,3009292,290154
12472,3015524,277165
12526,3003956,199169
12538,3003792,274629
12577,3010299,220439
12714,3000636,291595
12717,3003909,266404
12723,3005531,113315
12724,3010343,282552
12798,3004533,290112
12819,3011766,279299
12839,3013342,298250
12902,3013786,296283
12909,3009581,261178
12935,3003374,279073
12978,3013326,277088
12987,3017619,266755
13069,3010772,298443
13113,3013812,189554
13146,3014076,276003
13192,3010138,279248
13212,3004356,280535
13251,3010715,2833
13252,3016849,298208
13322,3006781,287171
